V,V1,V2,V3
P01SVRKJSM,0,0.039007306,0
P01OAGRDR,0,0.075719692,0
V00SF4,0,-0.003986852,0
V00SF8,0,0.043173827,0
V00WPRKN1,0,0,0.198786115
V00WPRKN2,0,0,0.066404242
V00DILKN8,0,0.092597865,0
V00KOOSFX5,-0.014461446,0.002535853,0
V00KQOL4,-0.040077074,0,0
V00WOMKPR,0,0,0.915568239
P01BL12SXL,0.003518452,0,0
P01BL12SXR,0.008641493,0,0
V00CESD3,0,0.048020994,0
V00CESD11,-0.071231984,0,0
V00NSAIDS,-0.061242858,0.02362767,0
V00RX30,-0.0189305,0,0
V00COMORB,-0.042137161,0,0
V00PSMKYR,0.00324811,0,0
V00FFQ33,0,0.00241275,0
V00FFQSZ61,-0.046483856,0,0
V00FFQ69,0,0.017179054,0
V00STEPST1,0,0.000952778,0
V00LKPFCRE,0,0.000665138,0
V00LKPGDPN,0,0.002264634,0
V00HLTHCAR,0,0.01084827,0
V00PASE4,0,-0.01444792,0
V00EDCV,0.022121205,0,0